,abv,ibu,style
642,0.056,21.0,American Blonde Ale
651,0.077,71.0,American Black Ale
652,0.06,46.0,American Pale Ale (APA)
657,0.052000000000000005,15.0,Witbier
659,0.052000000000000005,25.0,American Amber / Red Ale
660,0.065,65.0,American IPA
662,0.049,25.0,American Blonde Ale
672,0.06,31.0,American Amber / Red Ale
673,0.052000000000000005,23.0,Kölsch
681,0.05,15.0,American Blonde Ale
682,0.053,11.0,Hefeweizen
684,0.092,115.0,American Double / Imperial IPA
685,0.065,80.0,American IPA
694,0.063,37.0,American Amber / Red Ale
696,0.075,33.0,American Brown Ale
697,0.085,100.0,American Double / Imperial IPA
700,0.048,25.0,Saison / Farmhouse Ale
702,0.052000000000000005,23.0,American Blonde Ale
703,0.07,70.0,American IPA
704,0.045,44.0,American IPA
707,0.056,46.0,American Blonde Ale
708,0.065,71.0,American IPA
712,0.05,40.0,American Pale Ale (APA)
713,0.052000000000000005,16.0,Hefeweizen
715,0.063,76.0,American IPA
718,0.096,85.0,American Double / Imperial IPA
720,0.044,45.0,American Pale Ale (APA)
721,0.052000000000000005,26.0,American Pale Ale (APA)
722,0.054000000000000006,27.0,American Amber / Red Ale
724,0.071,85.0,American IPA
727,0.065,72.0,American IPA
737,0.066,100.0,American IPA
738,0.051,17.0,Fruit / Vegetable Beer
739,0.043,12.0,Hefeweizen
740,0.058,49.0,American Amber / Red Ale
741,0.061,64.0,American IPA
742,0.045,18.0,American Pale Wheat Ale
744,0.078,74.0,American IPA
749,0.078,74.0,American IPA
751,0.049,25.0,American Amber / Red Lager
758,0.043,60.0,American IPA
759,0.062,80.0,American IPA
760,0.049,23.0,American Blonde Ale
765,0.054000000000000006,48.0,Czech Pilsener
771,0.05,32.0,American Pale Ale (APA)
773,0.067,70.0,American IPA
774,0.063,55.0,American Pale Ale (APA)
775,0.07,80.0,American IPA
776,0.07,58.0,American Stout
779,0.05,20.0,Kölsch
780,0.07,70.0,American IPA
781,0.075,53.0,American Amber / Red Ale
784,0.075,53.0,American Amber / Red Ale
789,0.08199999999999999,80.0,American Double / Imperial IPA
790,0.055,30.0,American Porter
792,0.055,45.0,Czech Pilsener
793,0.048,20.0,Kölsch
795,0.08,80.0,American Black Ale
797,0.05,22.0,American Pale Wheat Ale
799,0.08,72.0,American Amber / Red Ale
804,0.045,47.0,American IPA
805,0.075,75.0,American IPA
808,0.047,20.0,American Blonde Ale
